MARCA;CADENA;INICIO;FINAL;SKU;PRECIO - % PROMOCION
CALIFORNIA;CENCOSUD;2026-06-23;2026-07-27;BEBIDA CALIFORNIA ENERGY DRINK 250CC;$990
CALLAQUI;CENCOSUD;2026-06-23;2026-07-27;QUESO CABRA MADURO CALLAQUI 200 GR;
CALLAQUI;CENCOSUD;2026-06-23;2026-07-27;QUESO CABRA SUAVE CALLAQUI 200G;
CALLAQUI;CENCOSUD;2026-06-23;2026-07-27;QUESO CABRA SUAVE LAM CALLAQUI 200G;
CUK;CENCOSUD;2026-06-23;2026-07-27;Arroz al Cilantro Cuk 200 gr;15% TODO MEDIO PAGO 25% CENCO
CUK;CENCOSUD;2026-06-23;2026-07-27;BOLITAS CARNE PEREJIL CUK 350 GR;15% TODO MEDIO PAGO 25% CENCO
CUK;CENCOSUD;2026-06-23;2026-07-27;CHARQUICAN CUK 350 GR;15% TODO MEDIO PAGO 25% CENCO
CUK;CENCOSUD;2026-06-23;2026-07-27;HOJAS DE PARRA CUK 375 GR;15% TODO MEDIO PAGO 25% CENCO
CUK;CENCOSUD;2026-06-23;2026-07-27;HOJAS DE PARRA VEGETARIANA CUK 380 GR;15% TODO MEDIO PAGO 25% CENCO
CUK;CENCOSUD;2026-06-23;2026-07-27;KUBBE COCIDO CUK 330 GR;15% TODO MEDIO PAGO 25% CENCO
CUK;CENCOSUD;2026-06-23;2026-07-27;LENTEJAS QUINOA CUK 350 GR;15% TODO MEDIO PAGO 25% CENCO
CUK;CENCOSUD;2026-06-23;2026-07-27;PASTEL CHOCLO CUK 450 GR;15% TODO MEDIO PAGO 25% CENCO
CUK;CENCOSUD;2026-06-23;2026-07-27;PLATEADA CON SALSA CUK 240 GR;15% TODO MEDIO PAGO 25% CENCO
CUK;CENCOSUD;2026-06-23;2026-07-27;Poroto C/Mazamorra Cuk 350 gr;15% TODO MEDIO PAGO 25% CENCO
CUK;CENCOSUD;2026-06-23;2026-07-27;MOUSSE CHOCOLATE FRAMBUESA SIN AZUCAR 120 GR;$2990
CUK;CENCOSUD;2026-06-23;2026-07-27;POSTRE CONG CUK SUSPIRO FRAMBUESA 140 GR;$2990
CUK;CENCOSUD;2026-06-23;2026-07-27;POSTRE CONGELADO SUSPIRO LIMENO CUK 140 GR;$2990
CUK;CENCOSUD;2026-06-23;2026-07-27;POSTRE CUK CHOC COCO;$2990
CUK;CENCOSUD;2026-06-23;2026-07-27;POSTRE CUK MANJAR;$2990
KOMBUCHACHA;CENCOSUD;2026-06-23;2026-07-27;KOMBUCHACHA CERO ARANDANO LATA 355ML;2 X $3690
KOMBUCHACHA;CENCOSUD;2026-06-23;2026-07-27;KOMBUCHACHA CERO CEDRON LATA 355ML;2 X $3690
KOMBUCHACHA;CENCOSUD;2026-06-23;2026-07-27;KOMBUCHACHA CERO FRAMBUESA LATA 355ML;2 X $3690
KOMBUCHACHA;CENCOSUD;2026-06-23;2026-07-27;KOMBUCHACHA CERO JENGIBRE LATA 355ML;2 X $3690
KOMBUCHACHA;CENCOSUD;2026-06-23;2026-07-27;KOMBUCHACHA ENERGIA MAQUI LATA 355ML;2 X $3690
LA CABRESA;CENCOSUD;2026-06-25;2026-07-27;QUESO CABRA MADURO LA CABRESA KG;$2756
LA CABRESA;CENCOSUD;2026-06-23;2026-07-27;QUESO CABRA MADURO LA CABRESA 200 GR;$5790
LA CABRESA;CENCOSUD;2026-06-23;2026-07-27;QUESO CABRA PREMIUM LA CABRESA 200 GR;$5790
LA CABRESA;CENCOSUD;2026-06-23;2026-07-27;QUESO DE CABRA GRIEGO LA CABRESA 200 GR;$5790
QUINTAL;CENCOSUD;2026-06-05;2026-07-30;GIN QUINTAL FRANKLIN #1 BOT 700CC 43°;$14.990
SUK;CENCOSUD;2026-07-07;2026-07-13;DISPLAY SUK 10U;10%
SUK;CENCOSUD;2026-07-07;2026-07-13;DISPLAY SUK 26U;10%
SUK;CENCOSUD;2026-07-07;2026-07-13;POSTRE CHOCO DUBAI SUK 590 GRS;10%
SUK;CENCOSUD;2026-06-23;2026-07-27;TAHINA DE SESAMO ALWADI 454 G;10%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;1876358;30% y 20%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;1876359;30% y 20%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;1950910;30% y 20%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;1950911;30% y 20%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;2004271;30% y 20%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;2004272;30% y 20%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;2004273;30% y 20%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;Albondigas Veganas Vegmonkey 15un;30% y 20%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;EMPANADA PINO VEGANO VEGMONKEY 384GR;30% y 20%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;HAMBURGUESA BASE SOYA VEGMONKEY 100G;30% y 20%
VEG MONKEY;CENCOSUD;2026-06-30;2026-07-17;Hamburguesa Garbanzos Vegmonkey 100g;30% y 20%
